taxon,specimen,ITS,trnL_trnF,trnS_trnG
Oxalis_linearis,Dreyer679,EU436972,AJ582329,EU437258
Oxalis_livida,Oberlander0078,EU436889,EU437050,NA
Oxalis_louisae,Dreyer708,EU436928,AJ582330,EU437215
Oxalis_luteola,Oberlander0026,EU436904,AJ582331,EU437192
Oxalis_massoniana,Holmes0016,EU437015,EU437120,EU437301 
Oxalis_meisneri,Oberlander0088,EU436993,EU437110,EU437279
Oxalis_melanosticta,Dreyer622,EU436901,AJ582332,EU437189
Oxalis_minuta,Dreyer727,EU437028,AJ582334,NA
Oxalis_monophylla,DreyerOberlander0003,EU436927,AJ582335,EU437214
Oxalis_multicaulis,Oberlander0080,EU436998,EU437112,EU437284
Oxalis_namaquana,Dreyer713,EU436941,AJ582336,EU437228
Oxalis_natans,Oberlander0160,EU437009,EU437117,EU437295
Oxalis_nidulans,Dreyer752,EU437026,AJ582337,EU437312
Oxalis_nortieri,Oberlander0112,EU436914,EU437068,EU437202
Oxalis_obliquifolia,Bellstedt711,EU436915,EU437069,EU437203
Oxalis_obtusa,Dreyer691,EU436922,AJ582338,EU437210
Oxalis_oculifera,Dreyer799,EU436953,AJ582339,EU437239
Oxalis_oligophylla,Dreyer797,EU437023,AJ582340,EU437309
Oxalis_orbicularis,Oberlander0066,EU436899,EU437058,EU437187
Oxalis_oreophila,Dreyer666,EU436975,AJ582341,EU437261
Oxalis_orthopoda,Oberlander0068,EU436956,EU437093,EU437242
Oxalis_cf_pachyrrhiza,Dreyer809,EU436871,EU437037,EU437160
Oxalis_pallens,Dreyer654,EU436997,AJ582342,EU437283
Oxalis_palmifrons,Holmes0019,EU437021,EU437124,EU437307
Oxalis_pendulifolia,Oberlander0067,EU437019,EU437122,EU437305
Oxalis_perdicaria,Botrand0002,EU436878,EU437043,EU437167
Oxalis_pes-caprae,Dreyer662,EU436882,AJ582343,EU437171
Oxalis_phloxidiflora,Dreyer678,EU436984,EU437106,EU437270
Oxalis_pillansiana,Oberlander0135,EU436938,EU437082,EU437225
Oxalis_pocockiae,Dreyer626,EU436911,AJ582344,EU437199
Oxalis_polyphylla,Cilliers0002,EU437010,AJ582345,EU437296
Oxalis_porphyriosiphon,Oberlander0167,EU436987,EU437107,EU437273
Oxalis_primuloides,Dreyer711,EU436966,AJ582346,EU437252
Oxalis_pseudo-cernua,Craven4781,EU436880,EU437045,EU437169
Oxalis_psilopoda,Oberlander0064,EU436891,EU437052,EU437179
Oxalis_pulchella,Dreyer612,EU436907,AJ582347,EU437195
Oxalis_cf_pulvinata,MO576cfpulvinata,EU436926,EU437076,EU437213
Oxalis_punctata,Cilliers0005,EU436917,AJ582367,EU437205
Oxalis_purpurascens,Dreyer634,EU436881,AJ582348,EU437170
Oxalis_purpurea,Oberlander0024,EU436902,AJ582349,EU437190
Oxalis_pusilla,Dreyer746,EU437004,AJ582350,EU437290
Oxalis_reclinata,Dreyer718,EU436968,AJ582351,EU437254.
Oxalis_recticaulis,Oberlander0170,EU437003,EU437115,EU437289
Oxalis_salteri,Dreyer784,EU436932,AJ582352,EU437219
Oxalis_setosa,Bellstedt770,EU436916,EU437070,EU437204
Oxalis_smithiana,Bellstedt699,EU436964,EU437099,EU437250
Oxalis_sonderiana,Dreyer694,EU436945,EU437087,EU437231
Oxalis_stellata,Oberlander0086,EU436894,EU437054,EU437182
Oxalis_stenopetala,Dreyer675,EU436983,AJ582353,EU437269
Oxalis_stenoptera,Oberlander0138,EU436934,EU437079,EU437221
Oxalis_stictocheila,Dreyer749,EU436996,AJ582355,EU437282
Oxalis_stricta,Walter6518,EU436869,EU437035,EU437158
Oxalis_strigosa,Oberlander0093,EU436959,EU437096,EU437245
Oxalis_suavis,Oberlander0075,EU436937,EU437081,EU437224
Oxalis_suteroides,Oberlander0115,EU436963,EU437098,EU437249
Oxalis_tenella,Dreyer639,EU436978,AJ582356,EU437264
Oxalis_tenuifolia,Oberlander0027,EU436995,EU437112,EU437281
Oxalis_tenuipes,Dreyer800,EU436986,AJ582358,EU437271
Oxalis_tenuis,Dreyer793,EU436989,AJ582359,EU437275
Oxalis_tetraphylla,MO392cftetraphylla,EU436877,EU437042,EU437166
Oxalis_tomentosa,Roller0006,EU437022,AJ582360,EU437308
Oxalis_cf_tragopoda,MO490cftragopoda,EU436897,EU437057,EU437185
Oxalis_truncatula,Dreyer605,EU436960,AJ582361,EU437246
Oxalis_uliginosa,MO394uliginosa,EU436933,EU437078,EU437220
Oxalis_urbaniana,Bytebier2015,EU436999,AJ582362,EU437285
Oxalis_valdiviensis,Botrand0001,EU436873,EU437039,EU437162
Oxalis_versicolor,Oberlander0034,EU437006,AJ582363,EU437292
Oxalis_virginea,MO580virginea,EU436955,EU437092,EU437241
Oxalis_viscosa,Dreyer642,EU436949,AJ582364,EU437235
Oxalis_vulcanicola,MO702cfhedysaroides ,EU436872,EU437038,EU437161
Oxalis_xantha,Dreyer671,EU436980,AJ582365,EU437266
Oxalis_zeekoevleyensis,Oberlander0012,EU436900,EU437059,EU437188
Oxalis_zeyheri,MO590cfzeyheri,EU436962,EU437097,EU437248
