taxon,specimen,ITS,psbJ_petA,trnT_trnL,trnL_trnF
Oxalis_griffithii,Aoki357,LC206053,LC206161,LC206268,LC206375
Oxalis_griffithii,Aoki81,LC206106,LC206213,LC206320,LC206427
Oxalis_griffithii,Aoki82,LC206107,LC206214,LC206321,LC206428
Oxalis_griffithii,Aoki414,LC206068,LC206176,LC206283,LC206390
Oxalis_griffithii,Aoki418,LC206071,LC206179,LC206286,LC206393
Oxalis_griffithii,Aoki419,LC206072,LC206180,LC206287,LC206394
Oxalis_griffithii,Aoki421,LC206074,LC206182,LC206289,LC206396
Oxalis_griffithii,Aoki425,LC206075,LC206183,LC206290,LC206397
Oxalis_griffithii,Aoki426,LC206076,LC206184,LC206291,LC206398
Oxalis_kantoensis,Aoki25,LC206033,LC206141,LC206248,LC206355
Oxalis_kantoensis,Aoki30,LC206044,LC206152,LC206259,LC206366
Oxalis_kantoensis,Aoki106,LC206004,LC206112,LC206219,LC206326
Oxalis_kantoensis,Aoki109,LC206005,LC206113,LC206220,LC206327
Oxalis_kantoensis,Aoki359,LC206054,LC206162,LC206269,LC206376
Oxalis_kantoensis,Aoki38,LC206056,LC206164,LC206271,LC206378
Oxalis_kantoensis,Aoki454,LC206087,LC206194,LC206301,LC206408
Oxalis_leucolepis,Aoki420,LC206073,LC206181,LC206288,LC206395
Oxalis_magellanica,Aoki427,LC206077,LC206185,LC206292,LC206399
Oxalis_oregana,Olmstead2003-33,JN159893,JN836782,JN836852,NA
Oxalis_pes-caprae,Aoki6,LC206097,LC206204,LC206311,LC206418
Oxalis_rosea,Lammers7916,JN603194,JN836784,JN836854,JN639538
Oxalis_spiralis,Aoki85,LC206110,LC206217,LC206324,LC206431
Oxalis_taimonii,Wang4456,LC206081,LC215384,NA,NA
Oxalis_triangulata,Aoki34,LC206052,LC206160,LC206267,LC206374
Oxalis_triangulata,Aoki73,LC206101,LC206208,LC206315,LC206422
Oxalis_triangulata,Aoki74,LC206102,LC206209,LC206316,LC206423
Oxalis_wulingensis,Deng544,JX445132,NA,NA,NA
