taxon,specimen,ITS,psbJ_petA,trnL_trnF,trnT_trnL
Oxalis_corniculata,Vaio386,NA,KC602036,KC602060,KC602088
Oxalis_corniculata,Vaio413,KC602003,NA,NA,NA
Oxalis_corniculata,Emshwiller793,JN603192,JN836781,EU437126,JN836851
Oxalis_corniculata,GardnerS1,KC602004,KC602032,KC602056,KC602085
Oxalis_corniculata,Oberlander0025,EU436867,NA,NA,EU437361
Oxalis_corniculata,Whang30690,EU274619,NA,NA,NA
Oxalis_corniculata,Gravendeel723,JN634730,NA,NA,NA
Oxalis_corniculata,shawpc1016I,JN407499,NA,NA,NA
Oxalis_corniculata,Emshwiller992,KC602005,KC602033,KC602057,KC602086
Oxalis_corniculata,KEW37915,KC602006,KC602034,KC602058,NA
Oxalis_corniculata,Vaio259,KC602007,KC602035,KC602059,KC602087
Oxalis_fontana,Whang30761,EU274622,NA,NA,NA
Oxalis_stricta,Walter6518,EU436869,NA,EU437035,NA
Oxalis_stricta,GardnerstrictaB,NA,KC602037,KC602061,KC602089
Oxalis_calachaccensis,Emshwiller151,KC602008,NA,EU437127,NA
Oxalis_calachacensis,Emshwiller880X,KC602009,KC602038,KC602063,NA
Oxalis_bisfracta,Emshwiller232,KC602010,KC602039,KC602065,KC602091
Oxalis_dillenii,Walter6565,EU436868,NA,EU437034,NA
Oxalis_dillenii,Emshwiller1160,NA,NA,KC602064,KC602090
Oxalis_aureoflava,Munoz4871,JN634725,NA,JN620122,NA
Oxalis_paludosa,Vaio479,KC602011,KC602040,KC602066,KC602092
Oxalis_tenerrima,VaioC30,KC602012,KC602041,KC602067,KC602093
Oxalis_tenerrima,VaioC25,KC602013,NA,NA,NA
Oxalis_conorrhiza,Vaio86,KC602014,NA,NA,KC602094
Oxalis_conorrhiza,Vaio206,NA,KC602042,KC602068,KC602095
Oxalis_conorrhiza,Vaio175,KC602015,NA,KC602069,KC602096
Oxalis_conorrhiza,Vaio528,KC602016,NA,NA,NA
Oxalis_gyrorhiza,Heibl02-035,NA,NA,JN620129,NA
Oxalis_niederleinii,Vaio190,KC602018,KC602044,KC602071,KC602098
Oxalis_refracta,Vaio496,KC602019,KC602045,KC602072,KC602099
Oxalis_eriocarpa,Vaio31,KC602020,KC602046,KC602073,KC602100
Oxalis_dumetorum,Mihoc7330,JN634731,NA,NA,NA
Oxalis_serpens,VaioC27,KC602017,KC602043,KC602070,KC602097
Oxalis_bifrons,Fiaschi3633,KC602021,KC602047,KC602074,KC602101
Oxalis_sarmentosa,VaioC13,KC602022,KC602048,KC602075,KC602102
Oxalis_sarmentosa,VaioC35,KC602023,NA,NA,NA
Oxalis_paranaensis,VaioC2,KC602024,KC602049,KC602076,KC602103
Oxalis_debilis,Vaio62,JN836774,JN836806,JN836760,JN836876
Oxalis_perdicaria,Vaio79,JN836772,JN836808,JN836762,JN836878
Oxalis_floribunda,Vaio358,JN836767,JN836790,JN836758,JN836861
Oxalis_acetosella,Emshwiller114,JN836783,JN836783,JN639537,JN836853
Oxalis_tuberosa,Emshwiller97:50-02,JN603198,JN836787,KC602077,KC602104
Oxalis_rosea,Lammers7916,JN603194,JN836784,JN639538,JN836854
Oxalis_megalorrhiza,Emshwiller773,JN603196,NA,EU437139,JN836856
Oxalis_psoraleoides,Vaio431,KC602030,KC602054,NA,KC602109
Oxalis_psoraleoides,Emshwiller781,NA,NA,EU437128,NA
Oxalis_rhombeo-ovata,Vaio526,KC602031,NA,KC602084,KC602110
Oxalis_frutescens,Vaio426,KC602026,KC602051,KC602080,KC602106
Oxalis_divaricata,Felix13386,KC602028,KC602055,KC602082,KC602111
Oxalis_grisea,Vaio512,KC602025,KC602050,KC602079,KC602105
Oxalis_glaucescens,Felix13539,KC602029,KC602053,KC602083,KC602108
Oxalis_barrelieri,Vaio517,KC602027,KC602052,KC602081,KC602107
