taxon,specimen,ITS
Oxalis_densa,Oberlander0169,EU436921
Oxalis_densifolia,Cabral93,OQ310875
Oxalis_dentata,Cilliers0004,EU436888
Oxalis_depressa,Oberlander0085,EU436909
Oxalis_deserticola,Oberlander0114,EU436939
Oxalis_desmodioides,Cabral194,Cabral
Oxalis_diamantinae,Richetti61,OQ623649
Oxalis_dichotoma,Oberlander0052,EU436893
Oxalis_dilatata,BayerOberlander0014,EU436910
Oxalis_dillenii,Walter6565,EU436868
Oxalis_dines,Helme1355,EU436943
Oxalis_discolor,Gardner35,JN618525
Oxalis_disticha,Oberlander0159,EU436942
Oxalis_divaricata,Felix13386,KC602028
Oxalis_divergens,Gardner58,JN618527
Oxalis_dolichopoda,Emshwiller292,U74267
Oxalis_dombey,Cornejo10089,Cabral
Oxalis_dregei,Mucina210903/11,EU436930
Oxalis_droseroides,Oberlander0079,EU436994
Oxalis_drummondii,Weller965,JN618528
Oxalis_dumetorum,Mihoc7330,JN634731
Oxalis_duriuscula,Oberlander0082,EU437020
Oxalis_ebracteata,Dreyer644,EU436990
Oxalis_eckloniana,Dreyer628,EU437025
Oxalis_engleriana,Oberlander0010,EU436961
Oxalis_enneaphylla,HeiblMunozToro04-045,JN634732
Oxalis_eriocarpa,Vaio31,KC602020
Oxalis_eriolepis,Emshwiller155,JN618530
Oxalis_erosa,UnknownN,MH705070
Oxalis_erythrorhiza,Zuloaga12781,MH220857
Oxalis_erytrorrhiza,FOZ12781,Lopez
Oxalis_exserta,Dreyer686,EU436967
Oxalis_fabaefolia,Dreyer721/A,EU436925
Oxalis_falcatula,Oberlander0096,EU436992
Oxalis_famatinae,FOZ11970,Lopez
Oxalis_fergusoniae,Oberlander0111,EU436912
Oxalis_fibrosa,Oberlander0051,EU436958
Oxalis_flagellata,Emshwiller246,NA
Oxalis_flava,Dreyer614,EU436924
Oxalis_flaviuscula,Dreyer701,EU436929
Oxalis_floribunda_subsp_floribunda,Vaio358,JN836767
Oxalis_floribunda_subsp_ostenii,Vaio388,KX249623
Oxalis_fontana,Whang30761,EU274622
Oxalis_formosana,Aoki181,LC206020
Oxalis_fourcadei,BeanVlok2046,EU436923
Oxalis_frutescens,Vaio426,KC602026
Oxalis_fruticosa,Fiaschi4658,OQ310877
Oxalis_furcillata,Oberlander0022,EU436952
Oxalis_galeottii,Gardner60,JN618531
Oxalis_gardneriana,Scatigna1336,Cabral
Oxalis_geralensis,UnknownN,KX249625
Oxalis_giftbergensis,Dreyer796,EU436988
Oxalis_gigantea,HeiblMunozToro04-010,JN634733
Oxalis_glabra,Mucina170601/2,EU437000
Oxalis_glaucescens,Felix13539,KC602029
Oxalis_goniorrhiza,Oberlander0157,EU437002
Oxalis_goyazensis,Cabral100,OQ623643
Oxalis_gracilifolia,Cabral193,Cabral
Oxalis_gracilipes,Dreyer645,EU436991
