taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,Nmarker,Kmarker,duplicate
Oxalis_articulata,UnknownN,Z66545,NA,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506,NA,NA,JN836788,NA,EU437146,NA,JN836859,4,TRUE,TRUE
Oxalis_articulata_subsp_articulata,Vaio505,KX249612,NA,NA,KX249662,NA,KX249636,NA,KX249639,4,TRUE,FALSE
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507,NA,NA,JN836789,NA,EU437147,NA,JN836860,4,TRUE,FALSE
Oxalis_atacamensis,Heibl01-054,JN634724,NA,JN592061,NA,JN587323,JN620121,NA,JN620088,5,TRUE,FALSE
Oxalis_attaquana,Bayer7007,EU436918,NA,NA,NA,NA,EU437071,EU437206,NA,3,TRUE,FALSE
Oxalis_aurea,Dreyer771,EU436935,NA,NA,NA,NA,EU437080,EU437222,NA,3,TRUE,FALSE
Oxalis_aureoflava,Zollitsch61,NA,NA,JN592062,NA,NA,JN620122,NA,NA,2,FALSE,FALSE
Oxalis_barrelieri,UnknownN,KC602027,NA,NA,KC602052,NA,KC602081,NA,KC602107,4,TRUE,FALSE
Oxalis_bela-vitoriae,Fiaschi4606,OQ310871,NA,NA,OQ295992,NA,OQ296018,NA,NA,3,TRUE,FALSE
Oxalis_bifida,Dreyer608,EU437017,NA,NA,NA,NA,AJ582297,EU437303,NA,3,TRUE,TRUE
Oxalis_bifrons,Fiaschi3633,KC602021,NA,NA,KC602047,NA,KC602074,NA,KC602101,4,TRUE,TRUE
Oxalis_bifurca,Bellstedt764,EU436965,NA,NA,NA,NA,EU437100,EU437251,NA,3,TRUE,FALSE
Oxalis_bipartita,Vaio320,JN836778,NA,NA,JN836810,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_bipartita_subsp_bipartita,Vaio320,JN836778,NA,NA,JN836810,NA,NA,NA,JN836880,3,TRUE,FALSE
Oxalis_bisfracta,Emshwiller232,KC602010,NA,NA,KC602039,NA,KC602065,NA,KC602091,4,TRUE,FALSE
Oxalis_blackii,Costa115,MH705068,NA,NA,MH705089,NA,MH705073,NA,MH705081,4,TRUE,TRUE
Oxalis_blastorrhiza,Dreyer788,EU436974,NA,NA,NA,NA,AJ582298,EU437260,NA,3,TRUE,TRUE
Oxalis_boliviana,Emshwiller310,U74264,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_bowiei,MO502cfbowiei,EU436895,NA,NA,NA,NA,EU437055,EU437183,NA,3,TRUE,FALSE
Oxalis_brasiliensis,EmshwillerBRAS2,JN618520,NA,NA,JN836798,NA,JN639546,NA,JN836868,4,TRUE,FALSE
Oxalis_bulbocastanum,Heibl01-071,JN634726,NA,JN592063,NA,JN587324,JN620123,NA,JN620089,5,TRUE,FALSE
Oxalis_bullulata,Dreyer792,EU436908,NA,NA,NA,NA,EU437063,EU437196,NA,3,TRUE,FALSE
Oxalis_burkei,Dreyer618,EU437029,NA,NA,NA,NA,AJ582299,NA,NA,2,TRUE,TRUE
Oxalis_burtoniae,Oberlander0031,EU437008,NA,NA,NA,NA,AJ582300,EU437294,NA,3,TRUE,FALSE
Oxalis_caerulea,Gardner39,JN618517,NA,NA,JN836800,NA,JN639548,NA,JN836870,4,TRUE,FALSE
Oxalis_caesariata,Radavelli62,PP175925,NA,NA,PP179506,NA,PP179510,NA,NA,3,TRUE,FALSE
Oxalis_caesia,Heibl02-012,JN634727,NA,JN602084,NA,JN587325,JN620124,JN627221,JN620090,6,TRUE,FALSE
Oxalis_calachaccensis,Emshwiller880X,KC602009,NA,NA,KC602038,NA,KC602063,NA,NA,3,TRUE,FALSE
Oxalis_callosa,Oberlander0120,EU436973,NA,NA,NA,NA,EU437103,EU437259,NA,3,TRUE,FALSE
Oxalis_camelopardalis,Oberlander0071,EU437012,NA,NA,NA,NA,EU437119,EU437298,NA,3,TRUE,FALSE
Oxalis_campicola,Dreyer780,EU436981,NA,NA,NA,NA,AJ582301,EU437267,NA,3,TRUE,TRUE
Oxalis_campylorrhiza,Dreyer696,EU436947,NA,NA,NA,NA,AJ582302,EU437233,NA,3,TRUE,TRUE
Oxalis_capillacea,Dreyer625,EU437013,NA,NA,NA,NA,AJ582304,EU437299,NA,3,TRUE,TRUE
Oxalis_capixaba,Costa117,OQ310893,NA,NA,OQ296013,NA,OQ296041,NA,NA,3,TRUE,TRUE
Oxalis_caprina,DreyerOberlander0001,EU436892,NA,NA,NA,NA,AJ582305,EU437180,NA,3,TRUE,TRUE
Oxalis_cardenasiana,Wood22331,JN618519,NA,NA,JN836799,NA,JN639547,NA,JN836869,4,TRUE,FALSE
Oxalis_cathara,MO582cathara,EU436931,NA,NA,NA,NA,EU437077,EU437218,NA,3,TRUE,FALSE
Oxalis_cf_alpina,Weller979,JN618565,NA,NA,JN836846,NA,JN639584,NA,JN836913,4,TRUE,FALSE
Oxalis_cf_canaliculata,BayerN,EU436946,NA,NA,NA,NA,EU437088,EU437232,NA,3,TRUE,FALSE
Oxalis_cf_helicoides,Dreyer688,NA,NA,NA,NA,NA,AJ582306,NA,NA,1,FALSE,FALSE
Oxalis_cf_megalorrhiza,Dreyer809,EU436871,NA,NA,NA,NA,EU437037,NA,NA,2,TRUE,FALSE
Oxalis_cf_melilotoides,Emshwiller190,NA,AF470245,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_cf_pachyrrhiza,Dreyer809,EU436871,NA,NA,NA,NA,EU437037,EU437160,NA,3,TRUE,FALSE
Oxalis_cf_peduncularis,Emshwiller850,NA,AF470263,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_cf_polymorpha,Fiaschi4618,PQ536094,NA,NA,PQ585594,NA,PQ585611,NA,NA,3,TRUE,FALSE
Oxalis_cf_pulvinata,MO576cfpulvinata,EU436926,NA,NA,NA,NA,EU437076,EU437213,NA,3,TRUE,FALSE
Oxalis_cf_tragopoda,MO490cftragopoda,EU436897,NA,NA,NA,NA,EU437057,EU437185,NA,3,TRUE,FALSE
Oxalis_cf_tuberosa,Emshwiller259,NA,AF470274,NA,NA,NA,NA,NA,NA,1,FALSE,TRUE
Oxalis_chachahuensis,MartinezCarretero1570,MH220862,NA,MH998371,NA,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_ciliaris,Dreyer613,EU436979,NA,NA,NA,NA,AJ582307,EU437265,NA,3,TRUE,TRUE
Oxalis_ciliata,Cabral124,NA,NA,NA,OR099841,NA,OR099867,NA,NA,2,FALSE,FALSE
Oxalis_cinerea,Heibl03-095,JN634728,NA,JN602085,NA,NA,JN620125,NA,JN620091,4,TRUE,TRUE
Oxalis_cipoensis,Costa110,PQ536096,NA,NA,PQ585587,NA,PQ585604,NA,NA,3,TRUE,FALSE
