taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_cf_cerradoana,Cabral251,1,NA,NA,1,NA,1,NA,NA
Oxalis_cf_neuwiedii,Rhoden8,1,NA,NA,1,NA,1,NA,NA
Oxalis_cf_roselata,Rhoden16,1,NA,NA,1,NA,1,NA,NA
Oxalis_cipoensis,Costa110,1,NA,NA,1,NA,1,NA,NA
Oxalis_colatinensis,Fiaschi4625,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_colatinensis,Fiaschi4631,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_conorrhiza,MM4518,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_conorrhiza,FOZ12216,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_corniculata,FOZ13216,1,NA,NA,NA,NA,1,NA,NA
Oxalis_decipiens,Vasques57,1,NA,NA,1,NA,1,NA,NA
Oxalis_desmodioides,Cabral194,1,NA,NA,1,NA,1,NA,NA
Oxalis_dombey,Cornejo10089,1,NA,NA,1,NA,1,NA,NA
Oxalis_dombey,Cornejo10158,1,NA,NA,1,NA,1,NA,NA
Oxalis_enneaphylla,LZ231,1,NA,NA,NA,NA,1,NA,NA
Oxalis_eriocarpa,OM6313,1,NA,NA,NA,NA,1,NA,NA
Oxalis_erytrorrhiza,FOZ12781,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_famatinae,FOZ11970,1,NA,NA,NA,NA,1,NA,NA
Oxalis_floribunda,OM6243,1,NA,NA,NA,NA,1,NA,NA
Oxalis_frutescens,FOZ11549,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_fruticosa,Fiaschi4658,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_gardneriana,Scatigna1336,1,NA,NA,1,NA,1,NA,NA
Oxalis_gracilifolia,Cabral193,1,NA,NA,1,NA,1,NA,NA
Oxalis_grisea,Simon2781,1,NA,NA,1,NA,1,NA,NA
Oxalis_hedysaroides,Cogollo2943,NA,NA,NA,1,NA,1,NA,NA
Oxalis_hedysaroides,Cornejo10079,1,NA,NA,1,NA,1,NA,NA
Oxalis_hispidula,Giussani422,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_jasminifolia,Pennington12342,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_jasminifolia,Cornejo9331,1,NA,NA,1,NA,1,NA,NA
Oxalis_kollmannii,Manhaes176,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa_var_hispidula,FOZ12608,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa_var_hispidula,FOZ12555,1,NA,NA,NA,NA,1,NA,NA
Oxalis_lomana,Gaspar46,1,NA,NA,NA,1,NA,NA,NA
Oxalis_lomana,Gaspar2,1,NA,1,NA,1,NA,NA,NA
Oxalis_lomana,Gaspar55,1,NA,1,NA,1,NA,NA,NA
Oxalis_lutzii,Fiaschi5596,1,NA,NA,1,NA,NA,NA,NA
Oxalis_megalorrhiza,Gaspar173,1,NA,1,NA,1,NA,NA,NA
Oxalis_micrantha,FOZ12313,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_micrantha,FOZ12428,1,NA,NA,NA,NA,1,NA,NA
Oxalis_micrantha,FOZ12338,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_microcarpa,Cornejo9341,1,NA,NA,1,NA,NA,NA,NA
Oxalis_monochasiata,Fiaschi4585,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_morronei,LZ204,1,NA,NA,NA,NA,1,NA,NA
Oxalis_muscoides,FOZ12256,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_neuwiedii_subsp_neuwiedii,Santos749,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_neuwiedii_subsp_neuwiedii,Perdiz174,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_niederleinii,OM6328,1,NA,NA,NA,NA,1,NA,NA
Oxalis_pachyrrhiza,FOZ11802,NA,NA,NA,NA,NA,1,NA,NA
Oxalis_pardoensis,Caxambu5990,1,NA,NA,1,NA,1,NA,NA
Oxalis_pataxorum,Cabral196,1,NA,NA,1,NA,1,NA,NA
Oxalis_perdicaria,Giussani423,1,NA,NA,NA,NA,1,NA,NA
Oxalis_pickeringii,Gaspar175,1,NA,NA,1,1,1,NA,NA
Oxalis_pilulifera,Sartor48,NA,NA,NA,1,NA,NA,NA,NA
Oxalis_polymorpha_subsp_polymorpha,Fiaschi4618,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_polymorpha_subsp_tijucana,Fiaschi44722,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_puberula,Rhoden7,1,NA,NA,1,NA,1,NA,NA
Oxalis_pycnophylla,FOZ11747,1,NA,NA,NA,NA,1,NA,NA
Oxalis_pyrenea_var_macrochaeta,Radavelli67,NA,NA,NA,1,NA,1,NA,NA
Oxalis_pyrenea_var_pyrenea,Sartor65,1,NA,NA,1,NA,1,NA,NA
Oxalis_rhombeo-ovata,Fiaschi4464,1,NA,NA,NA,NA,NA,NA,NA
Oxalis_sellowiana_forma_sellowiana,Giussani421,1,NA,NA,NA,NA,1,NA,NA
Oxalis_sepium,Radavelli76,NA,NA,NA,1,NA,1,NA,NA
Oxalis_sp_Lopez_unpub1,OM6349,1,NA,NA,NA,NA,NA,NA,NA
