taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,ncpGS,Nmarker,Kmarker,duplicate
Biophytum_sensitivum,Carlsen3550,OL536383,OL312396,NA,OL536778,NA,NA,NA,NA,3,TRUE,FALSE
Dapania_pentandra,DAPEN,EU436861,NA,NA,NA,EU437031,EU437150,NA,NA,3,TRUE,FALSE
Sarcotheca_laxa,SARLAX,EU436859,NA,NA,NA,NA,EU437148,NA,NA,2,TRUE,FALSE
Sarcotheca_monophylla,SARMON,EU436860,NA,NA,NA,EU437030,EU437149,NA,NA,3,TRUE,FALSE
Oxalis_acetosella,HeiblBotGardenMunich01,JN634720,JN592057,NA,JN587320,JN620117,JN627218,JN620084,NA,6,TRUE,FALSE
Oxalis_adenodes,Dreyer716,EU436903,NA,NA,NA,EU437060,EU437191,NA,NA,3,TRUE,FALSE
Oxalis_adenophylla,HeiblPfanzelt05-024,JN634721,JN592058,NA,JN587321,JN620118,NA,JN620085,NA,5,TRUE,FALSE
Oxalis_adpressipila,Kuhlmann6587h,OQ310891,NA,NA,NA,OQ296038,NA,NA,NA,2,TRUE,FALSE
Oxalis_adspersa,Dreyer635,EU436936,NA,NA,NA,AJ582290,EU437223,NA,NA,3,TRUE,TRUE
Oxalis_aff_umbraticola,Rhoden19,NA,NA,PQ585598,NA,PQ585614,NA,NA,NA,2,FALSE,FALSE
Oxalis_alpina,Gardner45,JN618513,NA,JN836794,NA,JN639543,NA,JN836865,NA,4,TRUE,FALSE
Oxalis_alstonii,Vaio413,MH705067,NA,MH705088,NA,NA,NA,MH705080,NA,4,TRUE,FALSE
Oxalis_lutzii,Melo4829,PQ536091,NA,PQ585585,NA,PQ585602,NA,NA,NA,3,TRUE,FALSE
Oxalis_alvimii,Fiaschi4597,OQ310870,NA,OQ295991,NA,OQ296017,NA,NA,NA,3,TRUE,TRUE
Oxalis_ambigua,Oberlander0140,EU436905,NA,NA,NA,EU437061,EU437193,NA,NA,3,TRUE,FALSE
Oxalis_amblyodonta,Bayer7397,EU437007,NA,NA,NA,EU437116,EU437293,NA,NA,3,TRUE,FALSE
Oxalis_amblyosepala,Oberlander0168,EU436982,NA,NA,NA,EU437105,EU437268,NA,NA,3,TRUE,FALSE
Oxalis_amorimii,Fiaschi5457,PQ536092,NA,PQ585589,NA,PQ585606,NA,NA,NA,3,TRUE,FALSE
Oxalis_andina,Emshwiller315,U74263,NA,NA,NA,NA,NA,NA,AF098983,1,TRUE,TRUE
Oxalis_animarum,Cabral275,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_annae,Mucina170903/3,EU436920,NA,NA,NA,EU437072,EU437208,NA,NA,3,TRUE,FALSE
Oxalis_arbuscula,HeiblPfanzelt05-050,JN634722,JN592059,NA,JN587322,JN620119,NA,JN620086,NA,5,TRUE,FALSE
Oxalis_argentina,Emshwiller235,JN618516,NA,JN836797,NA,EU437143,NA,NA,NA,3,TRUE,FALSE
Oxalis_argillacea,Dreyer786,EU436940,NA,NA,NA,AJ582294,EU437227,NA,NA,3,TRUE,TRUE
Oxalis_argyrophylla,Oberlander0040,EU437005,NA,NA,NA,AJ582295,EU437291,NA,NA,3,TRUE,FALSE
Oxalis_aridicola,Dreyer672,EU436977,NA,NA,NA,AJ582296,EU437263,NA,NA,3,TRUE,TRUE
Oxalis_artemioides,Sartor81,1,NA,1,NA,NA,NA,NA,NA,2,TRUE,FALSE
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506,NA,JN836788,NA,EU437146,NA,JN836859,NA,4,TRUE,TRUE
