species,specimen,ITS
Oxalis_peduncularis,Unknown_Collector_N,AY356350
Oxalis_articulata,Unknown_Collector_N,Z66545
Oxalis_villosula,Unknown_Collector_N,Z66547
Oxalis_tuberosa,Unknown_Collector_N,Z66546
